Quick sort, 6000, 90425, 0.000353
Quick sort, 8000, 122720, 0.000509
Quick sort, 10000, 149106, 0.000636
Quick sort, 12000, 188872, 0.000692
Quick sort, 14000, 229137, 0.000782
Quick sort, 16000, 259654, 0.000932
Quick sort, 18000, 308889, 0.001029
Quick sort, 20000, 311086, 0.001169
Quick sort, 22000, 370887, 0.001287
Quick sort, 24000, 396373, 0.001362
Quick sort, 26000, 457988, 0.001489
Quick sort, 28000, 469466, 0.001665
Quick sort, 30000, 510650, 0.001788
Quick sort, 32000, 609373, 0.001797
Quick sort, 34000, 619580, 0.002188
Quick sort, 36000, 673008, 0.002525
Quick sort, 38000, 683072, 0.002125
Quick sort, 40000, 752453, 0.002241
Quick sort, 42000, 828726, 0.002074
Quick sort, 44000, 789337, 0.002474
Quick sort, 46000, 891115, 0.002391
Quick sort, 48000, 899371, 0.002293
Quick sort, 50000, 930959, 0.002674
Shell sort, 2000, 17678, 0.000159
Shell sort, 4000, 47835, 0.000331
Shell sort, 6000, 68438, 0.000524
Shell sort, 8000, 112080, 0.000726
Shell sort, 10000, 154873, 0.000844
Shell sort, 12000, 187598, 0.001124
Shell sort, 14000, 224947, 0.001152
Shell sort, 16000, 293046, 0.001383
Shell sort, 18000, 286240, 0.001423
Shell sort, 20000, 340707, 0.001705
Shell sort, 22000, 372628, 0.001798
Shell sort, 24000, 463693, 0.002199
Shell sort, 26000, 501043, 0.002050
Shell sort, 28000, 515922, 0.002494
Shell sort, 30000, 555796, 0.002683
Shell sort, 32000, 733325, 0.002650
Shell sort, 34000, 616578, 0.003008
Shell sort, 36000, 764186, 0.003033
Shell sort, 38000, 755260, 0.003445
Shell sort, 40000, 881783, 0.003516
Shell sort, 42000, 988507, 0.003795
Shell sort, 44000, 950544, 0.003863
Shell sort, 46000, 930366, 0.004159
Shell sort, 48000, 1145043, 0.004654
Shell sort, 50000, 1197600, 0.004749
IQuick sort, 2000, 25481, 0.000107
IQuick sort, 4000, 52726, 0.000205
IQuick sort, 6000, 90747, 0.000312
IQuick sort, 8000, 123197, 0.000439
IQuick sort, 10000, 149542, 0.000576
IQuick sort, 12000, 189150, 0.000647
IQuick sort, 14000, 230241, 0.000690
IQuick sort, 16000, 260418, 0.000879
IQuick sort, 18000, 309876, 0.000877
IQuick sort, 20000, 312504, 0.000998
IQuick sort, 22000, 372062, 0.001145
IQuick sort, 24000, 398087, 0.001175
IQuick sort, 26000, 459470, 0.001453
IQuick sort, 28000, 471380, 0.001571
IQuick sort, 30000, 512434, 0.001587
IQuick sort, 32000, 610678, 0.001592
IQuick sort, 34000, 621998, 0.001715
IQuick sort, 36000, 675282, 0.001704
IQuick sort, 38000, 685828, 0.002103
IQuick sort, 40000, 755315, 0.001959
IQuick sort, 42000, 830814, 0.002454
IQuick sort, 44000, 792147, 0.002059
IQuick sort, 46000, 894663, 0.002569
IQuick sort, 48000, 902809, 0.002475
IQuick sort, 50000, 934226, 0.002557
